"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Zfp808",1.29547423012997e-06,0.253345446470095,0.239,0.202,0.0291080104767902
"Dis3",1.30850456519446e-06,0.446460672696509,0.105,0.079,0.0294007890753542
"Jmjd6",1.31471265471693e-06,-0.423629718289942,0.091,0.119,0.0295402786388347
"Hmces",1.32722630044388e-06,0.356044169172153,0.1,0.075,0.0298214477446735
"Zbtb10",1.33232615981154e-06,0.395402005389376,0.117,0.09,0.0299360364848055
"Gpr146",1.35250730491705e-06,-0.416510547937362,0.094,0.122,0.0303894866341813
"Nudcd1",1.36358547390305e-06,0.381801085993373,0.124,0.096,0.0306384020131276
"Zfp282",1.36984152945662e-06,0.27486847847713,0.151,0.12,0.0307789693253609
"Polr2m",1.37249402277128e-06,-0.333313285410722,0.155,0.189,0.0308385681976478
"Gm29642",1.38737126677956e-06,0.383002315471373,0.12,0.093,0.03117284499327
"Farsb",1.39381094500062e-06,0.344201448543217,0.165,0.134,0.031317538123219
"Xpnpep3",1.39737582710525e-06,0.338744395786458,0.122,0.094,0.0313976374592279
"Polr3gl",1.39888615179409e-06,0.313139392252352,0.138,0.108,0.0314315729446614
"Eapp",1.40625689578805e-06,-0.400092904192923,0.164,0.196,0.0315971861914618
"Nceh1",1.42520693742633e-06,-0.340714291925186,0.156,0.19,0.0320229746770322
"Gtf2e2",1.45191027422691e-06,0.310379571272899,0.16,0.128,0.0326229719516045
"Cox20",1.47919724876106e-06,-0.408501680849778,0.105,0.134,0.0332360829824123
"Filip1",1.48017337691392e-06,0.363690038578434,0.107,0.081,0.033258015605879
"Zfp287",1.49840820588571e-06,0.296761548982333,0.147,0.116,0.033667733978046
"Pml",1.50895328645096e-06,-0.524317917197579,0.076,0.102,0.0339046713932665
"Mrps5",1.51747622838049e-06,-0.482369735199608,0.082,0.109,0.0340961733754812
"Nr2f1",1.51871988297591e-06,-0.331853212460688,0.145,0.178,0.0341241170505858
"Drg1",1.52804637308627e-06,-0.346709861480649,0.183,0.218,0.0343336739568755
"Abhd16a",1.5722508622847e-06,-0.357578601903083,0.136,0.168,0.035326904624675
"Sugp1",1.6121877609715e-06,0.333249280274273,0.128,0.1,0.0362242468012686
"Golga7",1.62981846535841e-06,-0.375314200074039,0.135,0.167,0.0366203910981382
"Tmub2",1.67868073971612e-06,-0.47264071205776,0.074,0.1,0.0377182775406814
"Scyl2",1.68187356071451e-06,0.288213345570652,0.181,0.148,0.0377900170356944
"AW047730",1.69717633653404e-06,-0.504499529785389,0.084,0.111,0.0381338551055835
"Ythdc2",1.69960682923897e-06,0.253861082422405,0.225,0.188,0.0381884658461705
"Trim12c",1.71466749825278e-06,-0.381254868105743,0.19,0.223,0.0385268640182416
"Ccm2",1.73623660510305e-06,0.387833127960255,0.131,0.102,0.0390115002800605
"Chmp4b",1.74913612160668e-06,-0.296941974871139,0.255,0.29,0.0393013395163805
"Abhd8",1.76846996728621e-06,-0.424423094605277,0.089,0.117,0.0397357516949538
"Nubpl",1.770306103824e-06,0.320240144152543,0.189,0.156,0.0397770078468215
"Ankrd16",1.77433256995433e-06,0.357654923765685,0.115,0.088,0.0398674785143038
"Knop1",1.79583268360544e-06,-0.449388362739805,0.093,0.121,0.0403505645679307
"Acrbp",1.79868585027306e-06,0.385879966384309,0.104,0.078,0.0404146723697855
"Ripk2",1.80965777369833e-06,-0.569410612410411,0.156,0.188,0.0406612005172277
"Hspd1",1.83728232329965e-06,-0.337836703344104,0.155,0.188,0.0412818965222199
"S100a16",1.83881964965789e-06,-0.315780999785432,0.233,0.269,0.0413164387081631
"Ddx18",1.89027621932245e-06,-0.389496303064066,0.1,0.129,0.0424726163719562
"Mrps33",1.89734052157696e-06,-0.301981154318377,0.196,0.231,0.0426313441793126
"Pdlim3",1.8998816165429e-06,-0.255757043513313,0.185,0.222,0.0426884400421024
"Slc5a3",1.95929846610238e-06,0.305437667839888,0.134,0.105,0.0440234772348545
"Polr1d",1.98062296238339e-06,-0.322239600988356,0.174,0.208,0.0445026173417923
"Anp32a",2.00967339528217e-06,-0.25820337482038,0.339,0.37,0.0451553515185952
"Plekha3",2.02687183446983e-06,0.333895767321033,0.136,0.107,0.0455417832487027
"Vwa5a",2.1005632359386e-06,-0.293381028162678,0.295,0.328,0.0471975553483045
